sent0,sent1,hard_neg,source
Source: Puffer fish; Edit instruction: Make it a tropical,Tropical fish,Puffer fish,webvid_covr_multimodal
Source: Athena written with fire. loop; Edit instruction: Make the Athena with fire,Jude written with fire. loop,Athena written with fire. loop,webvid_covr_multimodal
"On March 21, 1997, the FCC published a notice of proposed rulemaking in the Federal Register.",The FCC released a notice in 1997 about rulemaking.,The FCC released a notice in 1990 about drug trafficking.,nli_base
Source: Pink flamingo; Edit instruction: have it appear as sand,Pink sand-glass,Pink flamingo,webvid_covr_multimodal
In fact--with the help of his father's connections--he was conveniently detached from a unit headed for the battlefield and spent his tour doing administrative tasks.,"Through connections, he was detached from a unit on its way to the battlefield.","He never was detached from his unit, so he spent his tour in the battlefield.",nli_negation
a dog lying asleep outside of a house,A dog asleep.,The dog is chasing the brown fox.,nli_base
Source: Cat plays with toy; Edit instruction: Make the toy yarn,Cat plays with yarn,Cat plays with toy,webvid_covr_multimodal
"Source: Flame apps word,fire text; Edit instruction: make a flame out word","Flame stop word,fire text","Flame apps word,fire text",webvid_covr_multimodal
A person holding a large bunch of colorful balloons jumps in the snow.,The human has some floating things while in the white hard stuff.,The person is inside the house blowing up balloons.,nli_base
A man wearing a helmet bicycling in the woods.,A man is in the woods.,A man is working on his car.,nli_base
A black and white dog is jumping through a black and white hoop.,A dog jumps through a hoop.,A dog drinks some water.,nli_base
A person turns on the switch of the kneading machine,A person turns on the switch,A person turns off the switch of the kneading machine,ego4d_temporal
Female in a white dress walking through sand mounds.,The female wears white.,The woman is wearing black.,nli_base
Source: Rime forest; Edit instruction: make it an animated forest,Animated forest,Rime forest,webvid_covr_multimodal
Source: Cancun beach; Edit instruction: turn it into a Miami beach,Miami beach,Cancun beach,webvid_covr_multimodal
"A man in a blue shirt and black hoodie is watching another man, in a blue shirt, do something with electronic equipment.",A man is observing another man fixing an electric component.,A man is showing his friend how to steal an electric component.,nli_base
People in pink shirts walking in a parade.,A parade is being held outdoors.,All the people in the parade are topless.,nli_base
A man in full cowboy attire rides a bucking horse for an audience.,There is a man in this picture,The man does a backward flip into the water,nli_base
Source: Rain drops slow motion; Edit instruction: make the raindrops into dew drops,Dew drops slow motion,Rain drops slow motion,webvid_covr_multimodal
Source: Sunflower field in summer; Edit instruction: Change to wheat field,Wheat field in summer,Sunflower field in summer,webvid_covr_multimodal
A police officer on a bike talking to a the person in the yellow tank top.,A bike officer is talking to someone.,A police officer is sitting in his car talking to the person in blue.,nli_base
Jon turned to Susan.,Susan was near Jon.,Susan turned to look at Jon as he stood still.,nli_base
"Men in blue and white striped shirts, set off by matching red cummerbunds and neckerchiefs, carry a statue on a board on their shoulders.",The men are dressed up.,The men are swimming across the ocean.,nli_base
"A woman is kneeling on the ground, leaning to one side, taking a picture with a camera.",The woman is kneeling down to take a picture.,The woman is standing on a ladder painting a picture.,nli_base
Source: Dark cloud; Edit instruction: Make it a sky,Dark skies,Dark cloud,webvid_covr_multimodal
Source: Sheep in the barn; Edit instruction: make it a farm,Sheep in the farm,Sheep in the barn,webvid_covr_multimodal
The white duck is swimming with a black dog,A white duck and a black dog are outside.,A duck and a dog are taking a nap.,nli_base
Source: Water meter; Edit instruction: replace the meter,Water tap,Water meter,webvid_covr_multimodal
"Source: Behind the squares appears the symbol copyright. in - out. alpha channel premultiplied - matted with color rgb (8,132,164); Edit instruction: make the copyright symbol into the Kaaba","Behind the squares appears the symbol kaaba. in - out. alpha channel premultiplied - matted with color rgb (8,132,164)","Behind the squares appears the symbol copyright. in - out. alpha channel premultiplied - matted with color rgb (8,132,164)",webvid_covr_multimodal
Source: Businessman with mobile phone opens hologram hud interface and touches word country - capital - uganda; Edit instruction: make it a reference to Sudan,Businessman with mobile phone opens hologram hud interface and touches word country - capital - sudan,Businessman with mobile phone opens hologram hud interface and touches word country - capital - uganda,webvid_covr_multimodal
"Vast fields of wildflowers welcome the spring visitor, and in summer horseback riding, mountain biking, tennis, rafting, hang-gliding, and paragliding now join the more traditional activities of climbing and hiking.",There are many wildflowers in the field during the spring season.,There are no wildflowers in the vast fields.,nli_negation
Source: Sad woman; Edit instruction: Convey the woman,Depressed woman,Sad woman,webvid_covr_multimodal
A black woman working on threads on a sophisticated contraption to hold it all.,A woman with an intricate device.,A woman sitting casually.,nli_base
Source: 3d rendered medically accurate illustration of the colon; Edit instruction: render the illustration of the jaw,3d rendered medically accurate illustration of the jaw,3d rendered medically accurate illustration of the colon,webvid_covr_multimodal
A dog jumps into a swimming pool to retrieve some floating tennis balls.,A dog jumps into a pool.,A dog is sleeping in the field.,nli_base
Source: Camera fly over black keyboard and focus on the yellow glowing give button at the moment of its pressing; Edit instruction: make it a quote button,Camera fly over black keyboard and focus on the yellow glowing quote button at the moment of its pressing,Camera fly over black keyboard and focus on the yellow glowing give button at the moment of its pressing,webvid_covr_multimodal
Source: Water sports; Edit instruction: create a vortex,Water vortex,Water sports,webvid_covr_multimodal
Source: Kids drawing black screen with theme of community; Edit instruction: make the drawing,Kids drawing black screen with theme of water,Kids drawing black screen with theme of community,webvid_covr_multimodal
no  well my my last boss's wife she oh gosh she would run the tape player from the minute she went to go do her aerobics and she used to do like um filing at the hospital,My boss has had more than one wife.,His last wife hated music.,nli_base
"A barbecue tent, with a large red umbrella, and two male cooks, both with white aprons, standing over a barbecue grill as a crowd of people pass by.",People are cooking outside.,People are baking indoors.,nli_base
Source: Winter freeway; Edit instruction: make it snowman,Winter snowman,Winter freeway,webvid_covr_multimodal
A city street is illuminated by lamps at night.,The street is illuminated at night by lamps.,The sun is shining on the beach.,nli_base
Source: Ginger flower; Edit instruction: Make the flower rosy,Rosy flower,Ginger flower,webvid_covr_multimodal
Source: Fountain italy; Edit instruction: make it a water fount,Fountain water,Fountain italy,webvid_covr_multimodal
Source: Circles gather in symbol clock. after it crumbles in a line and moves to the camera. alpha channel black; Edit instruction: use Wheat instead of a clock,Circles gather in symbol wheat. after it crumbles in a line and moves to the camera. alpha channel black,Circles gather in symbol clock. after it crumbles in a line and moves to the camera. alpha channel black,webvid_covr_multimodal
Source: Fast snowboarder; Edit instruction: make it a ride instead of snowboarding,Fast ride,Fast snowboarder,webvid_covr_multimodal
Source: Text group from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white; Edit instruction: Make the background,Text term from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white,Text group from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white,webvid_covr_multimodal
Source: Flower head; Edit instruction: Make it a bunch,Flower particles,Flower head,webvid_covr_multimodal
Source: Anemone flowers; Edit instruction: Make them outside,Outdoor flowers,Anemone flowers,webvid_covr_multimodal
Source: Sea view; Edit instruction: make it a storm,Sea storm,Sea view,webvid_covr_multimodal
Source: Vegetables in the wind; Edit instruction: replace the vegetables with wildflowers,Wildflowers in the wind,Vegetables in the wind,webvid_covr_multimodal
Source: Symbol tractor appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black; Edit instruction: make it a cloud,Symbol cloud appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black,Symbol tractor appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
A golden dog plays in the snow,A dog is outside.,The dog is on a tropical beach.,nli_base
A man in a bike race jumping over a small obstacle.,A guy in a bike race jumps his bike.,A guy in a bike race flies over his handlebars in a crash.,nli_base
A woman opens fridge crisper,A woman opens the fridge in the kitchen,A woman closes fridge crisper,ego4d_temporal
Source: River in the field; Edit instruction: make it a bunch of kids paddling a raft,Kids in the field,River in the field,webvid_covr_multimodal
A man in overalls is blowing giant bubbles in a crowd at a park.,A man is blowing bubbles by people in a park.,A man is blowing bubbles at a business meeting.,nli_base
Even the Irish--the ones in Ireland--have distanced themselves from the New York legislation.,The Irish have distanced themselves from legislations in New York.,The Irish are supportive of the legislations in New York.,nli_base
"The Board believes that the desire for more specific guidance expressed by several respondents stems from the belief that without such guidance, an entity's determination of how to apply the standards could be questioned.",The Board believes the respondents have asked for clear guidelines so that there are no grey areas.,The respondents are confident about how to apply the standards.,nli_base
Pickers working out on a farm.,Pickers exercising on a farm.,Pickers sitting on a farm.,nli_base
Source: Tree nature; Edit instruction: make the tree trunks,Tree trunks,Tree nature,webvid_covr_multimodal
Source: Symbol calendar appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black; Edit instruction: create the user as a person,Symbol user appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black,Symbol calendar appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
A man in the park sunbathing,A man is getting some sun outside.,A man is working in his basement.,nli_base
A little girl in a red rain hat is playing in the mud with several adults.,A little girl is playing.,A little girl sits quietly.,nli_base
Source: White rhino in chiangmai thailand; Edit instruction: make an Indian rhino,Indian rhino in chiangmai thailand,White rhino in chiangmai thailand,webvid_covr_multimodal
Source: Blooming flowers; Edit instruction: make it a meadow,Meadow flowers,Blooming flowers,webvid_covr_multimodal
Source: Colorful line; Edit instruction: make the buildings into skyscrapers,Colorful skyscrapers,Colorful line,webvid_covr_multimodal
Source: Aerial view of conifers; Edit instruction: Remove the con,Aerial view of trains,Aerial view of conifers,webvid_covr_multimodal
AGA is an educational organization dedicated to the enhancement of public financial management.,AGA is dedicated to enhancing public financial management.,AGA is dedicated to corporate finance.,nli_base
Two men playing with their black and white dogs on the beach.,Men and dogs playing,its snowing out,nli_base
A girl turns on the tap on the sink,A girl turns on the tap in the sink,A girl turns off the tap on the sink,ego4d_temporal
A person is reading a book while waiting.,The person is reading.,The person is reading a magazine.,nli_base
Accused me of tampering with her letters.,Claimed that I had meddled in her letters.,Admitted that I had not touched her letters.,nli_negation
A man zips a bag in the locker,A man is zipping the bag on the floor,A man unzips a bag in the locker,ego4d_temporal
Source: Green sparkle; Edit instruction: make it a wave,Green wave,Green sparkle,webvid_covr_multimodal
Source: Mountain plants; Edit instruction: Make it look like a chalet,Mountain chalet,Mountain plants,webvid_covr_multimodal
Source: Blue lagoon; Edit instruction: make it a blue moon,Blue moon,Blue lagoon,webvid_covr_multimodal
Source: Color plant; Edit instruction: turn it into a peanut plant,Peanut plant,Color plant,webvid_covr_multimodal
Source: Writing or sketching a word information; Edit instruction: add consult,Writing or sketching a word consulting,Writing or sketching a word information,webvid_covr_multimodal
A man playing a saxophone.,The man is near the saxophone.,The man is doing his taxes in his office.,nli_base
Source: Three chicken; Edit instruction: Get black as if it was a black chicken,Black chicken,Three chicken,webvid_covr_multimodal
A homeless man with puke on his sleeve lies on the floor as a man in a beige leisure suit uses the telephone.,There are two men in this picture,The men are best friends trying to settle a bet of who is better at wrestling.,nli_base
A man plugs cable on the phone,A man is plugging the cable in the socket,A man unplugs cable from the phone,ego4d_temporal
Source: From the glitch effect arises chalkboard symbol. then the tv turns off. alpha channel premultiplied - matted with color black; Edit instruction: make the fire symbol,From the glitch effect arises fire symbol. then the tv turns off. alpha channel premultiplied - matted with color black,From the glitch effect arises chalkboard symbol. then the tv turns off. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
Source: Street sign the way to chance; Edit instruction: change the street sign to the way to moral,Street sign the way to moral,Street sign the way to chance,webvid_covr_multimodal
"Especially for 1999, LSC has substantially strengthened the documentation requirements for reporting a case to LSC.",The documentation requirements are strong thanks to LSC.,The documentation requirements are weak and LSC won't change.,nli_negation
"During Staats' tenure, GAO relied on new technological tools as well as employees with diverse academic degrees.",GAO employed some people with different academic degrees.,GAO only employed people with financial accounting degrees.,nli_base
Beach-goers in bathing suits use the outdoor showers on a pier.,Sunbathers take showers on the pier.,People buy snow-cones at the beach.,nli_base
Source: The video shows policy word built of wooden blocks; Edit instruction: make the word quality and not policy,The video shows quality word built of wooden blocks,The video shows policy word built of wooden blocks,webvid_covr_multimodal
A man is standing in front of a motor-scooter holding up a picture.,A mans stands in front of a scooter and holds up a picture,A man sitting at the back of scooter,nli_base
"You'll find it on the left, among the palace apartments on the Yamuna river.",There are palace apartments along the Yamuna river.,"It can be found on the right, where the palace apartments once stood.",nli_base
Source: Spring brooks; Edit instruction: make spring come,Spring came,Spring brooks,webvid_covr_multimodal
Source: Symbol cog. blue electric glow storm. looped video. alpha channel black; Edit instruction: replace the ruler with a symbol of a ruler,Symbol ruler. blue electric glow storm. looped video. alpha channel black,Symbol cog. blue electric glow storm. looped video. alpha channel black,webvid_covr_multimodal
Source: Industrial machine; Edit instruction: make it a washing machine,Washing machine,Industrial machine,webvid_covr_multimodal
Two brown dogs run side by side.,The dogs are active.,A pack of six dogs are running behind each other.,nli_base
a girl in a yellow floral dress is barbecuing.,A girl is cooking outdoors.,The girl barbecuing is wearing shorts and a t-shirt.,nli_base
Source: Boats in africa; Edit instruction: turn the boats into trees,Forests in africa,Boats in africa,webvid_covr_multimodal
Source: Morning on the beach; Edit instruction: Make it a bonfire,Bonfire on the beach,Morning on the beach,webvid_covr_multimodal
"a group of asian people posing for a picture while others take the picture, with the ocean in the background.",The people are near the ocean.,The people are shooting guns at each other.,nli_base
Two men are trying to align their telescope that is positioned in a field.,Men are working on setting up their telescope.,Men view a giant indoors telescope.,nli_base
Source: White hydrangea flower; Edit instruction: Make the flower,White color flower,White hydrangea flower,webvid_covr_multimodal
Source: People motion; Edit instruction: Make them sledding,People sledding,People motion,webvid_covr_multimodal
Source: Waterfall in thailand; Edit instruction: make it in alaska,Waterfall in alaska,Waterfall in thailand,webvid_covr_multimodal
Source: Wildlife mountains; Edit instruction: Surround the mountain with,"Sea, mountains",Wildlife mountains,webvid_covr_multimodal
"Source: Fitness diet,; Edit instruction: make them do squats",Fitness squats,"Fitness diet,",webvid_covr_multimodal
Source: Young couple hugging on beach; Edit instruction: Make them run,Young couple running on beach,Young couple hugging on beach,webvid_covr_multimodal
A girl plugs the cable on the guitar,A girl is plugging the cable on the extension box,A girl unplugs the cable from the guitar,ego4d_temporal
Time puts the cigarette deal on the cover.,Time put the cigarette deal on the front.,Time put me on the cover.,nli_base
A girl with orange hair and tattoos takes a picture of a painting with her phone.,A person takes a picture.,A person takes a picture of a sculpture.,nli_base
Source: Ponds aerial; Edit instruction: move Spain,Spain aerial,Ponds aerial,webvid_covr_multimodal
A man picks up a piece of woodcraft on the table,A man picks up another piece of the mechanical model on the table,A man puts down a piece of woodcraft on the table,ego4d_temporal
Source: Three flowers in garden; Edit instruction: remove the snow,Spring flowers in garden,Three flowers in garden,webvid_covr_multimodal
"Furuimachinami is quieter and more residential, with long, two-story, unpainted dark timber houses, lattice facades, and low-balconied verandahs, plus a few flowers and shrubs in pots or hako-niwa box gardens to add some color.","The homes of Furuimachinami can be recognized by their long, two-story, unpainted dark timber uniforms.",Furuimachinami is much louder and more industrial now.,nli_base
A guy with headphones DJing at a party.,A man is working with some electronic equipment.,A man is tying his shoes outside.,nli_base
Would clear out at once.,Would leave immediately.,Would never clear out immediately.,nli_negation
i have aerobics on Monday nights too i just didn't quite make it tonight because i was caught up at work for too long but,I didn't go to aerobics tonight because I was busy at work.,I do aerobics once a week on Tuesday night.,nli_base
"In a bar, a man playing billiards carefully aims for the cue ball.",People are playing games.,A man is playing darts.,nli_base
Source: Rippling water; Edit instruction: Made the water dirty,Dirty water,Rippling water,webvid_covr_multimodal
A man inserts the screw into the screw hole with the screwing machine,A man is inserting the screw in the rear derailleur of the bicycle,A man removes the screw from the screw hole with the screwing machine,ego4d_temporal
"The first, which lies on the main road from Jerusalem, is Rachel's Tomb, revered by all three religions of the Holy Land (Rachel was the wife of Jacob and died here while giving birth to Benjamin).","Christianity, Judaism, and Islam all hold Rachel's Tomb to be a sacred place.",Only the Jewish faith reveres Rachel's Tomb as a holy site.,nli_base
Source: Euro. looping; Edit instruction: Make it an attention sign,Attention. looping,Euro. looping,webvid_covr_multimodal
Source: Blue ocean; Edit instruction: turn it into a painting,Blue panels,Blue ocean,webvid_covr_multimodal
People hanging out in an airport terminal.,People are in an airport,People are at the bus station,nli_base
a dog running in a field of daisies,A canine is running in flowers.,The dog is digging up daisies.,nli_base
Source: Kids drawing black screen with theme of pickled; Edit instruction: make it black with honey,Kids drawing black screen with theme of honey,Kids drawing black screen with theme of pickled,webvid_covr_multimodal
A man too old to be skateboarding is grabbing a board in air doing a SWEET trick.,The man is riding a skateboard.,The man is sitting on a bench reading.,nli_base
Source: Crying woman; Edit instruction: make her younger,Young woman,Crying woman,webvid_covr_multimodal
A man screws a bolt with the ring spanner,A man screws the bolt on the scooter with the spinner,A man unscrews a bolt with the ring spanner,ego4d_temporal
Modern Japan has embraced the consumer society to such an extent that shopping can be a full-time pursuit.,Modern Japan has been able to embrace the consumer society.,Modern Japan has wholly rejected the consumer soceity.,nli_base
A person picks up card stock papers,A person is picking up the card board,A person puts down card stock papers,ego4d_temporal
Two men are pointing at pictures around the head of a third man.,A couple of men are looking at pictures.,Some women are ignoring some paintings.,nli_base
A girl picks up a piece of wood from the floor,A girl is picking up a piece of clay from a tile,A girl puts down a piece of wood from the floor,ego4d_temporal
Source: Big waves; Edit instruction: Make the waves bigger,Sea waves,Big waves,webvid_covr_multimodal
Source: Clear water; Edit instruction: make it raging,Raging water,Clear water,webvid_covr_multimodal
Source: Marsala zoom in - zoom to geographic earth from space; Edit instruction: Paris,Paris zoom in - zoom to geographic earth from space,Marsala zoom in - zoom to geographic earth from space,webvid_covr_multimodal
Source: Dog on the beach; Edit instruction: turn it into a bottle,Bottle on the beach,Dog on the beach,webvid_covr_multimodal
Volunteers working at a surfing booth at beach.,people at the beach,the volunteers are asleep,nli_base
"Unless Wanamaker was willing to pay double for reaching the right half of the people, his total ad spending would go down and not up.","If Wanamaker paid double for his ads, his ad spending would go up.",Wana maker would see higher total ad spending if he paid less to reach more of the wrong people.,nli_base
A woman picks up bowl from the kitchen cabinet,A woman is picking up the bowl of flour on the kneading table,A woman puts down bowl from the kitchen cabinet,ego4d_temporal
A child picks up another piece of wood,A child picks up the piece of rail,A child puts down another piece of wood,ego4d_temporal
"It is a notable example of what happens when writers discount the centrality of narrative to fiction, says Newsday 's Dan Cryer.",Writers think narrative isn't important to fiction.,Writers think narrative is important to fiction.,nli_base
A woman sitting on some steps smokes a cigarette while accessing her laptop.,A person  sitting on some steps smokes a cigarette while accessing her laptop.,A man sitting on some steps smokes a cigarette while accessing his laptop.,nli_base
Source: Grain close up; Edit instruction: replace with a chessboard,Chessboard close up,Grain close up,webvid_covr_multimodal
A dog jumps over the sand.,A dog goes over the sand.,A dog chases his tail.,nli_base
A man in black taking his leashed cat on a walk.,A man walking his pet.,A man feeding a stray cat a bowl of milk.,nli_base
Many of these items are so called marriage mail pieces which contain several individual advertisements combined into a single piece.,Many of these items contain several individual advertisements.,Several individual advertisements are separated into different mail pieces.,nli_base
Source: Winter beautiful landscape; Edit instruction: make it a city,Winter urban landscape,Winter beautiful landscape,webvid_covr_multimodal
A man leads two donkeys on a rope while three women clap in the background.,people cheer as someone leads an animal,a man leads two women while donkeys clap,nli_base
Source: Tunnel driving; Edit instruction: driving on water,Watercraft driving,Tunnel driving,webvid_covr_multimodal
Three people sitting in a large bike basket.,The people are in the basket.,The kids are doing jumping jacks.,nli_base
Source: Dandelion in the nature; Edit instruction: make it a daisy,Daisy in the nature,Dandelion in the nature,webvid_covr_multimodal
People shopping at a busy street bazzar.,People are shopping outside.,People are not shopping.,nli_negation
Source: Mangrove jungle; Edit instruction: make them mangrove trees,Mangrove trees,Mangrove jungle,webvid_covr_multimodal
Three people playing in the snow near the back of a car.,People play in the snow.,Three people sunbathe on the beach.,nli_base
Source: Foam in the water; Edit instruction: Insert the foot,Foot in the water,Foam in the water,webvid_covr_multimodal
Source: Dog on the street; Edit instruction: put it on the beach,Dog on the beach,Dog on the street,webvid_covr_multimodal
A woman picks up a piece of wood from another wood,A woman picks up a piece of pie from the shelf,A woman puts down a piece of wood from another wood,ego4d_temporal
Source: Pelican in nature; Edit instruction: make a child in place of the pelican,Child in nature,Pelican in nature,webvid_covr_multimodal
This is a time to support apartheid because it is unfashionable.,Apartheid is unfashionable and must be supported.,Apartheid is fashionable and hip to the masses.,nli_base
OMB also informed us that generally Regulation X matters had been designated major rules under Executive Order 12291.,We have been informed of Regulation X matters by OMB.,OBM never spoke on Regulation X or anything related to it.,nli_negation
Source: Text buttons from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white; Edit instruction: Make the text,Text breakfast from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white,Text buttons from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white,webvid_covr_multimodal
A toddler is sitting on a wooden horse and smiling.,A child is playing on their toy.,A toddler is sitting beside a toy crying.,nli_base
A black dog and a brown dog with a ball.,There are dogs with balls,There are dogs far from balls,nli_base
Source: Deer in the barn; Edit instruction: turn cows into deer,Cows in the barn,Deer in the barn,webvid_covr_multimodal
yeah and even you know i mean like we had i called them prefabs just a track home you know i mean we we had one of their homes that was nicer in Pennsylvania but um it was an older home but then you buy an older home and you're always fixing things up,We had an old property that was located in Pennsylvania.,Our home in Pennsylvania was brand new and in perfect condition.,nli_base
Source: Sunrise on the lake in the mountains; Edit instruction: make it a wedding,Wedding on the lake in the mountains,Sunrise on the lake in the mountains,webvid_covr_multimodal
take it when you want to yeah,It can be taken whenever you want to.,There is a set time you must take it.,nli_base
A man in an office inspecting a machine.,The man is indoors.,Two goldfish are riding bikes in a giant pile of mashed potatoes.,nli_base
A woman in a jacket with a fur hood is talking on her cellphone.,A woman has a jacket and is on her cellphone.,The woman is wearing a turtleneck.,nli_base
There are several construction workers at the top of a building which is in the early stages of construction and has only gray bricks for walls.,There is a building under construction and its builders stand on top of it.,Women watch a construction movie.,nli_base
Source: Pine wood; Edit instruction: Make it old,Old wood,Pine wood,webvid_covr_multimodal
Source: Reflections in water; Edit instruction: make the objects reflecting in water be ducks,Ducks in water,Reflections in water,webvid_covr_multimodal
But Charles was considerably less successful politically than his transatlantic contemporary.,"Across the Atlantic, Charles' counterpart proved to be much more politically astute.",Charles proved to be a master of politics with no living equal.,nli_negation
A man in a white shirt is caulking the roof.,A man is caulking a roof.,A worker takes an ice water break after working on the roof.,nli_base
Source: Windmills on mountains; Edit instruction: make the windmills snow tops,Snow on mountains,Windmills on mountains,webvid_covr_multimodal
Source: Snowy land; Edit instruction: make the mountains have snow,Snowy mountains,Snowy land,webvid_covr_multimodal
Three people are standing in front of an arcade.,People are near an arcade,Woman are dancing nearby,nli_base
"Source: Symbol ship burns out of transparency, then burns again. alpha channel premultiplied - matted with color black; Edit instruction: burn the ban out of transparency","Symbol ban burns out of transparency, then burns again. alpha channel premultiplied - matted with color black","Symbol ship burns out of transparency, then burns again. alpha channel premultiplied - matted with color black",webvid_covr_multimodal
"As I stated earlier, it could take 5 to 10 years to fully implement this reorganization in an effective and sustainable manner.",The reorganization will take up to 10 years to implement.,It will only take 2 years to effectively implement.,nli_base
Some small children are standing around some metal pipes.,Children are standing around some metal pipes.,Some big children are standing around some metal pipes.,nli_base
And how many closings have been appealed?,A question of how many appeals were made in regard to closings.,There have been no closings that were appealed.,nli_negation
Source: Light leaks - magical ambiance; Edit instruction: add glamour,Light leaks - glamour ambiance,Light leaks - magical ambiance,webvid_covr_multimodal
A girl picks up the piece of leaf from the floor,A girl is picking up the piece of paper on the tray,A girl puts down the piece of leaf from the floor,ego4d_temporal
Source: Burning sparkler; Edit instruction: turn it into a leaf,Burning leaf,Burning sparkler,webvid_covr_multimodal
"Source: Behind the squares appears the symbol ribbon. in - out. alpha channel premultiplied - matted with color rgb (8,132,164); Edit instruction: make it a cock-tail","Behind the squares appears the symbol cocktail. in - out. alpha channel premultiplied - matted with color rgb (8,132,164)","Behind the squares appears the symbol ribbon. in - out. alpha channel premultiplied - matted with color rgb (8,132,164)",webvid_covr_multimodal
Source: Chinese tea ceremony; Edit instruction: Add a finishing tea ceremony,Finishing tea ceremony,Chinese tea ceremony,webvid_covr_multimodal
Source: Dragonfly in nature; Edit instruction: Make the dragonfly,Baby in nature,Dragonfly in nature,webvid_covr_multimodal
Source: Kids drawing black screen with theme of orange; Edit instruction: replace with piston,Kids drawing black screen with theme of piston,Kids drawing black screen with theme of orange,webvid_covr_multimodal
"If we were to choose one place to set up a screening system to find people who need interventions, it should be the emergency department.",The emergency department is good for screening patients.,The emergency department is a terrible place to screen for problems.,nli_base
The small child comes up from underwater.,The kid is wet.,The child is completely dry.,nli_base
"A woman with black hair and a striped shirt, painting a picture of a castle.",A woman is creating a work of art.,A naked woman is cooking breakfast.,nli_base
Woman and two kids walk in the street,Three peopel walk in the street.,A women and two kids lay in the street.,nli_base
Two dogs play in a grassy field.,There are two dogs playing.,There are three dogs sitting.,nli_base
Source: Animated advertising gold 3d icon loop modules for edit with alpha matte; Edit instruction: make it a gold umbrella,Animated umbrella gold 3d icon loop modules for edit with alpha matte,Animated advertising gold 3d icon loop modules for edit with alpha matte,webvid_covr_multimodal
Source: Element of periodic table praseodymium multi-colored appear then disappear under the lightning strikes changing color. alpha channel premultiplied - matted with color black; Edit instruction: make it sulfur,Element of periodic table sulfur multi-colored appear then disappear under the lightning strikes changing color. alpha channel premultiplied - matted with color black,Element of periodic table praseodymium multi-colored appear then disappear under the lightning strikes changing color. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
A woman picks up a spoon on the wall of the kitchen,A woman picks up a spoon from a measuring scale,A woman puts down a spoon on the wall of the kitchen,ego4d_temporal
yeah because see what happens is they have a good backup policy and anybody can fix it and so that's what you're gonna go for,They have a good backup policy and anybody can fix it.,They have no backup policy.,nli_negation
Source: Water pump; Edit instruction: Make it flow like a waterfall,Water flow,Water pump,webvid_covr_multimodal
A cook plugs the plug into the electric socket on the floor,A cook plugs the plug on a socket,A cook unplugs the plug from the electric socket on the floor,ego4d_temporal
Source: Kids drawing black screen with theme of submarine; Edit instruction: turn the submarine into a penguin,Kids drawing black screen with theme of penguin,Kids drawing black screen with theme of submarine,webvid_covr_multimodal
"Source: Behind the squares appears the symbol smoking. in - out. alpha channel premultiplied - matted with color rgb (8,132,164); Edit instruction: make it a brush","Behind the squares appears the symbol brush. in - out. alpha channel premultiplied - matted with color rgb (8,132,164)","Behind the squares appears the symbol smoking. in - out. alpha channel premultiplied - matted with color rgb (8,132,164)",webvid_covr_multimodal
"Source: Sunset in israel; Edit instruction: Move the sunset to Guayaquil, Ecuador",Sunset in guayaquil,Sunset in israel,webvid_covr_multimodal
A woman inserts a card on the pile of cards,A woman inserts a card into a PDQ machine,A woman removes a card from the pile of cards,ego4d_temporal
2 women are sitting and a man is standing while he eats.,"All three people are out and about, out of the house.",Two women are dancing while the man is taking a nap.,nli_base
Source: Kids park; Edit instruction: Make it a theme,Theme park,Kids park,webvid_covr_multimodal
"Three dogs trot on a stretch of grass, and one dog is carrying a tennis ball.",Dogs trot on a stretch of grass.,Cats run on the grass.,nli_base
Source: Weir water; Edit instruction: make it a mystic water weir,Mystic water,Weir water,webvid_covr_multimodal
A smiling boy plays inside an inflatable yellow and white toy.,A happy child with a yellow and white toy.,A smiling boy squeezes his adorable teddy bear.,nli_base
A man inserts the wire in the hole,A man is inserting a wire,A man removes the wire from the hole,ego4d_temporal
Source: Closing in on egypt on simple political globe. 3d illustration; Edit instruction: Gabon instead of Egypt,Closing in on gabon on simple political globe. 3d illustration,Closing in on egypt on simple political globe. 3d illustration,webvid_covr_multimodal
Source: From the glitch effect arises sun symbol. then the tv turns off. alpha channel premultiplied - matted with color black; Edit instruction: turn into a child,From the glitch effect arises child symbol. then the tv turns off. alpha channel premultiplied - matted with color black,From the glitch effect arises sun symbol. then the tv turns off. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
Source: River in the forest; Edit instruction: make into a lake,Lake in the forest,River in the forest,webvid_covr_multimodal
